Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Variable_code,Value
2021,Level 1,99999,H01,"7,57,504"
2021,Level 1,99999,H04,"6,74,890"
2021,Level 1,99999,H05,"49,593"
2021,Level 1,99999,H07,"33,020"
2021,Level 1,99999,H08,"6,54,404"
2021,Level 1,99999,H09,"26,138"
2021,Level 1,99999,H10,"6,991"
2021,Level 1,99999,H11,"27,801"
2021,Level 1,99999,H12,"1,23,620"
2021,Level 1,99999,H13,275
2021,Level 1,99999,H14,"2,085"
2021,Level 1,99999,H19,"4,52,963"
2021,Level 1,99999,H20,"14,806"
2021,Level 1,99999,H21,"68,896"
2021,Level 1,99999,H22,"69,127"
2021,Level 1,99999,H23,"1,03,330"
2021,Level 1,99999,H24,"25,12,677"
2021,Level 1,99999,H25,"7,30,587"
2021,Level 1,99999,H26,"5,91,351"
2021,Level 1,99999,H29,"11,90,739"
2021,Level 1,99999,H30,"25,12,677"
2021,Level 1,99999,H31,"8,13,949"
2021,Level 1,99999,H32,"9,33,093"
2021,Level 1,99999,H33,"7,65,635"
2021,Level 1,99999,H34,"4,00,900"
2021,Level 1,99999,H35,"54,700"
2021,Level 1,99999,H36,78
2021,Level 1,99999,H37,71
2021,Level 1,99999,H39,13
2021,Level 1,99999,H40,4
2021,Level 1,99999,H41,32
2021,Level 1,AA,H01,"48,731"
2021,Level 1,AA,H04,"45,650"
2021,Level 1,AA,H05,640
2021,Level 1,AA,H06,279
2021,Level 1,AA,H07,"2,163"
2021,Level 1,AA,H08,"40,696"
2021,Level 1,AA,H09,"2,409"
2021,Level 1,AA,H10,489
2021,Level 1,AA,H11,"2,318"
2021,Level 1,AA,H12,"6,202"
2021,Level 1,AA,H13,1
2021,Level 1,AA,H19,"29,002"
2021,Level 1,AA,H20,275
2021,Level 1,AA,H21,"14,215"
2021,Level 1,AA,H22,"14,215"
2021,Level 1,AA,H23,"8,034"
2021,Level 1,AA,H24,"1,90,239"
2021,Level 1,AA,H25,"35,038"
2021,Level 1,AA,H26,"1,08,875"
2021,Level 1,AA,H29,"46,325"
2021,Level 1,AA,H30,"1,90,239"
2021,Level 1,AA,H31,"91,748"
2021,Level 1,AA,H32,"33,218"
2021,Level 1,AA,H33,"65,274"
2021,Level 1,AA,H34,"4,19,000"
2021,Level 1,AA,H35,"69,100"
2021,Level 1,AA,H36,105
2021,Level 1,AA,H37,63
2021,Level 1,AA,H39,9
2021,Level 1,AA,H40,4
2021,Level 1,AA,H41,48
2021,Level 3,AA11,H01,"5,394"
2021,Level 3,AA11,H04,"4,925"
2021,Level 3,AA11,H05,205
2021,Level 3,AA11,H07,264
2021,Level 3,AA11,H08,"4,374"
2021,Level 3,AA11,H09,181
2021,Level 3,AA11,H10,35
2021,Level 3,AA11,H11,278
2021,Level 3,AA11,H12,887
2021,Level 3,AA11,H13,0
2021,Level 3,AA11,H19,"2,970"
2021,Level 3,AA11,H20,22
2021,Level 3,AA11,H21,353
2021,Level 3,AA11,H22,356
2021,Level 3,AA11,H23,"1,023"
2021,Level 3,AA11,H24,"16,790"
2021,Level 3,AA11,H25,"2,878"
2021,Level 3,AA11,H26,"11,072"
2021,Level 3,AA11,H29,"2,841"
2021,Level 3,AA11,H30,"16,790"
2021,Level 3,AA11,H31,"8,200"
2021,Level 3,AA11,H32,"3,615"
2021,Level 3,AA11,H33,"4,975"
2021,Level 3,AA11,H34,"2,04,000"
2021,Level 3,AA11,H35,"38,700"
2021,Level 3,AA11,H36,80
2021,Level 3,AA11,H37,70
2021,Level 3,AA11,H39,12
2021,Level 3,AA11,H40,6
2021,Level 3,AA11,H41,49
2021,Level 4,AA111,H01,"5,394"
2021,Level 4,AA111,H04,"4,925"
2021,Level 4,AA111,H05,205
2021,Level 4,AA111,H07,264
2021,Level 4,AA111,H08,"4,374"
2021,Level 4,AA111,H09,181
2021,Level 4,AA111,H10,35
2021,Level 4,AA111,H11,278
2021,Level 4,AA111,H12,887
2021,Level 4,AA111,H13,0
2021,Level 4,AA111,H19,"2,970"
2021,Level 4,AA111,H20,22
2021,Level 4,AA111,H21,353
2021,Level 4,AA111,H22,356
2021,Level 4,AA111,H23,"1,023"
2021,Level 4,AA111,H24,"16,790"
2021,Level 4,AA111,H25,"2,878"
2021,Level 4,AA111,H26,"11,072"
2021,Level 4,AA111,H29,"2,841"
2021,Level 4,AA111,H30,"16,790"
2021,Level 4,AA111,H31,"8,200"
2021,Level 4,AA111,H32,"3,615"
2021,Level 4,AA111,H33,"4,975"
2021,Level 4,AA111,H34,"2,04,000"
2021,Level 4,AA111,H35,"38,700"
2021,Level 4,AA111,H36,80
2021,Level 4,AA111,H37,70
2021,Level 4,AA111,H39,12
2021,Level 4,AA111,H40,6
2021,Level 4,AA111,H41,49
2021,Level 3,AA12,H01,"11,690"
2021,Level 3,AA12,H04,"10,965"
2021,Level 3,AA12,H05,180
2021,Level 3,AA12,H07,545
2021,Level 3,AA12,H08,"10,334"
2021,Level 3,AA12,H09,577
2021,Level 3,AA12,H10,183
2021,Level 3,AA12,H11,585
2021,Level 3,AA12,H12,"1,110"
2021,Level 3,AA12,H13,0
2021,Level 3,AA12,H19,"7,827"
2021,Level 3,AA12,H20,52
2021,Level 3,AA12,H21,"6,078"
2021,Level 3,AA12,H22,"6,094"
2021,Level 3,AA12,H23,"1,372"
2021,Level 3,AA12,H24,"60,824"
2021,Level 3,AA12,H25,"13,012"
2021,Level 3,AA12,H26,"38,952"
2021,Level 3,AA12,H29,"8,860"
2021,Level 3,AA12,H30,"60,824"
2021,Level 3,AA12,H31,"33,880"
2021,Level 3,AA12,H32,"10,489"
2021,Level 3,AA12,H33,"16,455"
2021,Level 3,AA12,H34,"5,84,200"
2021,Level 3,AA12,H35,"68,600"
2021,Level 3,AA12,H36,124
2021,Level 3,AA12,H37,66
2021,Level 3,AA12,H39,4
2021,Level 3,AA12,H40,2
2021,Level 3,AA12,H41,56
2021,Level 4,AA121,H01,"11,690"
2021,Level 4,AA121,H04,"10,965"
2021,Level 4,AA121,H05,180
2021,Level 4,AA121,H07,545
2021,Level 4,AA121,H08,"10,334"
2021,Level 4,AA121,H09,577
2021,Level 4,AA121,H10,183
2021,Level 4,AA121,H11,585
2021,Level 4,AA121,H12,"1,110"
2021,Level 4,AA121,H13,0
2021,Level 4,AA121,H19,"7,827"
2021,Level 4,AA121,H20,52
2021,Level 4,AA121,H21,"6,078"
2021,Level 4,AA121,H22,"6,094"
2021,Level 4,AA121,H23,"1,372"
2021,Level 4,AA121,H24,"60,824"
2021,Level 4,AA121,H25,"13,012"
2021,Level 4,AA121,H26,"38,952"
2021,Level 4,AA121,H29,"8,860"
2021,Level 4,AA121,H30,"60,824"
2021,Level 4,AA121,H31,"33,880"
2021,Level 4,AA121,H32,"10,489"
2021,Level 4,AA121,H33,"16,455"
2021,Level 4,AA121,H34,"5,84,200"
2021,Level 4,AA121,H35,"68,600"
